log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-usuarios-curto.csv', 17, 0.0066330114692761104, 163, 105, 556, 37, 0.696, 0.815, 0.608
'p2p-0.3-1-usuarios-curto.csv', 17, 0.006469576374063909, 165, 135, 526, 34, 0.661, 0.829, 0.55
'p2p-0.3-1-usuarios-curto.csv', 17, 0.006262290308351379, 160, 108, 553, 39, 0.685, 0.804, 0.597
'p2p-0.3-1-usuarios-curto.csv', 17, 0.006583628253799153, 164, 108, 552, 35, 0.696, 0.824, 0.603
'p2p-0.3-1-usuarios-curto.csv', 17, 0.0069750907771372935, 164, 184, 476, 35, 0.599, 0.824, 0.471
'total', 17, 0.0065847194365255685, 816, 640, 2663, 180, 0.667, 0.819, 0.566
