log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-usuarios-nolle.csv', '4', 0.013020158294608827, 212, 155, 557, 77, 0.647, 0.734, 0.578
'p2p-0.3-1-usuarios-nolle.csv', '4', 0.013734503122668098, 209, 174, 538, 80, 0.622, 0.723, 0.546
'p2p-0.3-1-usuarios-nolle.csv', '4', 0.013485258949867006, 213, 139, 573, 76, 0.665, 0.737, 0.605
'p2p-0.3-1-usuarios-nolle.csv', '4', 0.013300843094390178, 208, 167, 545, 81, 0.627, 0.72, 0.555
'p2p-0.3-1-usuarios-nolle.csv', '4', 0.013222017379190409, 208, 151, 561, 80, 0.643, 0.722, 0.579
