log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-usuarios-nolle.csv', '1', 0.22699561327248852, 131, 334, 378, 158, 0.348, 0.453, 0.282
'p2p-0.3-1-usuarios-nolle.csv', '1', 0.2307341272058501, 183, 617, 95, 106, 0.336, 0.633, 0.229
'p2p-0.3-1-usuarios-nolle.csv', '1', 0.22616342598982345, 208, 315, 397, 81, 0.513, 0.72, 0.398
'p2p-0.3-1-usuarios-nolle.csv', '1', 0.22922966659441998, 174, 600, 112, 115, 0.328, 0.602, 0.225
'p2p-0.3-1-usuarios-nolle.csv', '1', 0.22763074581974926, 121, 434, 278, 167, 0.287, 0.42, 0.218
