log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-usuarios-curto.csv', 14, 0.22674997877206093, 200, 660, 1, 0, 0.378, 1.0, 0.233
'p2p-0.3-1-usuarios-curto.csv', 14, 0.009193729673439791, 177, 254, 407, 22, 0.562, 0.889, 0.411
'p2p-0.3-1-usuarios-curto.csv', 14, 0.009362841349302252, 168, 146, 515, 31, 0.655, 0.844, 0.535
'p2p-0.3-1-usuarios-curto.csv', 14, 0.009124511368349983, 164, 272, 388, 35, 0.516, 0.824, 0.376
'p2p-0.3-1-usuarios-curto.csv', 14, 0.009212252698324243, 171, 174, 486, 28, 0.629, 0.859, 0.496
'total', 14, 0.052728662772295445, 880, 1506, 1797, 116, 0.548, 0.883, 0.41
