log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-usuarios-nolle.csv', 14, 0.23267375324186101, 199, 414, 299, 90, 0.442, 0.689, 0.325
'p2p-0.3-1-usuarios-nolle.csv', 14, 0.2280109269873804, 150, 276, 436, 139, 0.419, 0.519, 0.352
'p2p-0.3-1-usuarios-nolle.csv', 14, 0.22645495711727728, 181, 134, 578, 108, 0.599, 0.626, 0.575
'p2p-0.3-1-usuarios-nolle.csv', 14, 0.22003403754182407, 167, 128, 584, 122, 0.572, 0.578, 0.566
'p2p-0.3-1-usuarios-nolle.csv', 14, 0.22753155262511243, 153, 303, 409, 135, 0.412, 0.531, 0.336
'total', 14, 0.22694104550269106, 850, 1255, 2306, 594, 0.489, 0.589, 0.431
