log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-usuarios-longo-rotulos.csv', 15, 0.22714162414344188, 289, 712, 1, 0, 0.448, 1.0, 0.289
'p2p-0.3-1-usuarios-longo-rotulos.csv', 15, 0.0075039305991394896, 244, 172, 540, 45, 0.692, 0.844, 0.587
'p2p-0.3-1-usuarios-longo-rotulos.csv', 15, 0.22597605393826045, 289, 711, 1, 0, 0.448, 1.0, 0.289
'p2p-0.3-1-usuarios-longo-rotulos.csv', 15, 0.2271134730728591, 289, 711, 1, 0, 0.448, 1.0, 0.289
'p2p-0.3-1-usuarios-longo-rotulos.csv', 15, 0.007525360443749641, 256, 157, 555, 32, 0.731, 0.889, 0.62
'total', 15, 0.1390520884394901, 1367, 2463, 1098, 77, 0.553, 0.947, 0.415
