log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-usuarios-curto.csv', '3', 0.06838812142037756, 137, 111, 550, 63, 0.611, 0.685, 0.552
'p2p-0.3-1-usuarios-curto.csv', '3', 0.06540793473127064, 151, 101, 560, 48, 0.67, 0.759, 0.599
'p2p-0.3-1-usuarios-curto.csv', '3', 0.08002492033249818, 145, 98, 562, 54, 0.656, 0.729, 0.597
'p2p-0.3-1-usuarios-curto.csv', '3', 0.0677803182693834, 143, 104, 556, 56, 0.641, 0.719, 0.579
'p2p-0.3-1-usuarios-curto.csv', '3', 0.06642111606175516, 139, 114, 546, 60, 0.615, 0.698, 0.549
