log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-usuarios-nolle.csv', 13, 0.2395473407177889, 175, 655, 58, 114, 0.313, 0.606, 0.211
'p2p-0.3-1-usuarios-nolle.csv', 13, 0.23371699219296954, 187, 617, 95, 102, 0.343, 0.647, 0.233
'p2p-0.3-1-usuarios-nolle.csv', 13, 0.2291292969822814, 187, 272, 440, 102, 0.5, 0.647, 0.407
'p2p-0.3-1-usuarios-nolle.csv', 13, 0.21824592929438325, 133, 115, 597, 156, 0.495, 0.46, 0.536
'p2p-0.3-1-usuarios-nolle.csv', 13, 0.2219513287093592, 155, 113, 599, 133, 0.557, 0.538, 0.578
'total', 13, 0.2219513287093592, 837, 1772, 1789, 607, 0.442, 0.58, 0.393
