log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-usuarios-nolle.csv', 20, 0.24994959079648862, 223, 500, 213, 66, 0.44, 0.772, 0.308
'p2p-0.3-1-usuarios-nolle.csv', 20, 0.2499418599431753, 172, 406, 306, 117, 0.397, 0.595, 0.298
'p2p-0.3-1-usuarios-nolle.csv', 20, 0.24995100036754525, 182, 137, 575, 107, 0.599, 0.63, 0.571
'p2p-0.3-1-usuarios-nolle.csv', 20, 0.24995100435965548, 189, 145, 567, 100, 0.607, 0.654, 0.566
'p2p-0.3-1-usuarios-nolle.csv', 20, 0.2499448646863952, 203, 489, 223, 85, 0.414, 0.705, 0.293
'total', 20, 0.24994766403065194, 969, 1677, 1884, 475, 0.491, 0.671, 0.407
