log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-usuarios-nolle.csv', '2', 0.06924983267374181, 208, 143, 614, 37, 0.698, 0.849, 0.593
'p2p-0.3-1-usuarios-nolle.csv', '2', 0.06604722201139111, 198, 163, 594, 47, 0.653, 0.808, 0.548
'p2p-0.3-1-usuarios-nolle.csv', '2', 0.06496405695784549, 198, 188, 568, 46, 0.628, 0.811, 0.513
'p2p-0.3-1-usuarios-nolle.csv', '2', 0.06522137590355519, 198, 173, 583, 46, 0.644, 0.811, 0.534
'p2p-0.3-1-usuarios-nolle.csv', '2', 0.07059996429976079, 205, 173, 583, 39, 0.659, 0.84, 0.542
