log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-usuarios-longo-rotulos.csv', 16, 0.004716819533693134, 238, 148, 565, 51, 0.706, 0.824, 0.617
'p2p-0.3-1-usuarios-longo-rotulos.csv', 16, 0.004607332108044283, 243, 159, 553, 46, 0.703, 0.841, 0.604
'p2p-0.3-1-usuarios-longo-rotulos.csv', 16, 0.004620036965796018, 232, 157, 555, 57, 0.684, 0.803, 0.596
'p2p-0.3-1-usuarios-longo-rotulos.csv', 16, 0.0044138750803799365, 242, 155, 557, 47, 0.706, 0.837, 0.61
'p2p-0.3-1-usuarios-longo-rotulos.csv', 16, 0.004674584106625875, 228, 167, 545, 60, 0.668, 0.792, 0.577
'total', 16, 0.004606529558907849, 1183, 786, 2775, 261, 0.693, 0.819, 0.601
