log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-curto.csv', '1', 0.0075239444443629695, 592, 24, 134, 110, 0.898, 0.843, 0.961
'p2p-0.3-1-curto.csv', '1', 0.007498094242307788, 580, 17, 141, 122, 0.893, 0.826, 0.972
'p2p-0.3-1-curto.csv', '1', 0.007524434403993381, 598, 21, 137, 104, 0.905, 0.852, 0.966
'p2p-0.3-1-curto.csv', '1', 0.007398211201811007, 599, 24, 133, 103, 0.904, 0.853, 0.961
'p2p-0.3-1-curto.csv', '1', 0.0076510504461134434, 576, 26, 131, 126, 0.884, 0.821, 0.957
